dataset,n_total,n_valid,uniqueness,novelty,validity,synthesizability,similarity,diversity
minGPT Low,100,77,1.0,0.948051948051948,0.77,,0.2638700109193074,0.7393635292570513
minGPT High,100,95,0.9578947368421052,0.5894736842105263,0.95,,0.29004178044959933,0.6734501731232712
GPT-4o Low,74,1,1.0,1.0,0.013513513513513514,,0.16001932466503194,
GPT-4o High,98,21,1.0,1.0,0.21428571428571427,,0.2036668198411421,0.7899444734316498
LLaMA Low,100,3,1.0,1.0,0.03,,0.1351053591136783,0.772149259954138
LLaMA High,103,60,1.0,1.0,0.5825242718446602,,0.22029828428081022,0.74292459553832
LLaMA Low tuned,100,99,0.9696969696969697,0.47474747474747475,0.99,,0.2761115786930669,0.7228525251244798
LLaMA High tuned,100,95,0.9894736842105263,0.43157894736842106,0.95,,0.28033479976987963,0.7175074765987851
